User,Activity,timestamp,,x,y,z,timeIntervalSince1970
Caroline,B,2020-05-05 20:36:18.019 +0000,,-0.372513,0.868652,0.215698,1588710978
Caroline,B,2020-05-05 20:36:18.029 +0000,,-0.359268,0.928116,0.165634,1588710978
Caroline,B,2020-05-05 20:36:18.039 +0000,,-0.376495,0.987045,0.113419,1588710978
Caroline,B,2020-05-05 20:36:18.049 +0000,,-0.400314,1.017227,0.08345,1588710978
Caroline,B,2020-05-05 20:36:18.059 +0000,,-0.420288,1.024261,0.074478,1588710978
Caroline,B,2020-05-05 20:36:18.069 +0000,,-0.434723,1.029373,0.080627,1588710978
Caroline,B,2020-05-05 20:36:18.078 +0000,,-0.447556,1.049454,0.092163,1588710978
Caroline,B,2020-05-05 20:36:18.088 +0000,,-0.460693,1.077271,0.107208,1588710978
Caroline,B,2020-05-05 20:36:18.098 +0000,,-0.467896,1.100571,0.121078,1588710978
Caroline,B,2020-05-05 20:36:18.108 +0000,,-0.466965,1.111435,0.124069,1588710978
Caroline,B,2020-05-05 20:36:18.118 +0000,,-0.455353,1.102646,0.130234,1588710978
Caroline,B,2020-05-05 20:36:18.128 +0000,,-0.437546,1.081009,0.131821,1588710978
Caroline,B,2020-05-05 20:36:18.138 +0000,,-0.413849,1.07048,0.134933,1588710978
Caroline,B,2020-05-05 20:36:18.148 +0000,,-0.389099,1.089584,0.155014,1588710978
Caroline,B,2020-05-05 20:36:18.158 +0000,,-0.363876,1.12854,0.170364,1588710978
Caroline,B,2020-05-05 20:36:18.168 +0000,,-0.333817,1.153564,0.184753,1588710978
Caroline,B,2020-05-05 20:36:18.178 +0000,,-0.30246,1.130569,0.190796,1588710978
Caroline,B,2020-05-05 20:36:18.188 +0000,,-0.270554,1.070862,0.178284,1588710978
Caroline,B,2020-05-05 20:36:18.198 +0000,,-0.236023,1.005188,0.162521,1588710978
Caroline,B,2020-05-05 20:36:18.208 +0000,,-0.203049,0.952652,0.143402,1588710978
Caroline,B,2020-05-05 20:36:18.218 +0000,,-0.178925,0.918152,0.117844,1588710978
Caroline,B,2020-05-05 20:36:18.228 +0000,,-0.166245,0.903885,0.088867,1588710978
Caroline,B,2020-05-05 20:36:18.238 +0000,,-0.161057,0.903687,0.059662,1588710978
Caroline,B,2020-05-05 20:36:18.248 +0000,,-0.158539,0.905823,0.040726,1588710978
Caroline,B,2020-05-05 20:36:18.258 +0000,,-0.152695,0.896896,0.034714,1588710978
Caroline,B,2020-05-05 20:36:18.268 +0000,,-0.142166,0.874542,0.037659,1588710978
Caroline,B,2020-05-05 20:36:18.278 +0000,,-0.131607,0.849457,0.040253,1588710978
