User,Activity,timestamp,timeIntervalSince1970,x,y,z
Luca,D,2020-05-05 15:19:18.572 +0000,1588691959,-0.642731,-0.349228,0.365891
Luca,D,2020-05-05 15:19:18.582 +0000,1588691959,-0.664291,-0.372131,0.389725
Luca,D,2020-05-05 15:19:18.592 +0000,1588691959,-0.712189,-0.366669,0.413635
Luca,D,2020-05-05 15:19:18.602 +0000,1588691959,-0.766357,-0.326309,0.436035
Luca,D,2020-05-05 15:19:18.612 +0000,1588691959,-0.788086,-0.266281,0.460861
Luca,D,2020-05-05 15:19:18.622 +0000,1588691959,-0.765564,-0.206375,0.466293
Luca,D,2020-05-05 15:19:18.632 +0000,1588691959,-0.710861,-0.163834,0.450241
Luca,D,2020-05-05 15:19:18.642 +0000,1588691959,-0.651932,-0.151703,0.410355
Luca,D,2020-05-05 15:19:18.652 +0000,1588691959,-0.60051,-0.17218,0.372421
Luca,D,2020-05-05 15:19:18.662 +0000,1588691959,-0.560623,-0.201813,0.373398
Luca,D,2020-05-05 15:19:18.672 +0000,1588691959,-0.540573,-0.220749,0.394363
Luca,D,2020-05-05 15:19:18.682 +0000,1588691959,-0.539749,-0.224609,0.418427
Luca,D,2020-05-05 15:19:18.692 +0000,1588691959,-0.554932,-0.213333,0.460449
Luca,D,2020-05-05 15:19:18.702 +0000,1588691959,-0.58844,-0.190994,0.514847
Luca,D,2020-05-05 15:19:18.712 +0000,1588691959,-0.635559,-0.148315,0.563019
Luca,D,2020-05-05 15:19:18.722 +0000,1588691959,-0.679535,-0.098511,0.608688
Luca,D,2020-05-05 15:19:18.732 +0000,1588691959,-0.737518,-0.089279,0.656876
Luca,D,2020-05-05 15:19:18.742 +0000,1588691959,-0.812973,-0.124191,0.667709
Luca,D,2020-05-05 15:19:18.752 +0000,1588691959,-0.867264,-0.189285,0.668243
Luca,D,2020-05-05 15:19:18.762 +0000,1588691959,-0.896713,-0.239716,0.661591
Luca,D,2020-05-05 15:19:18.772 +0000,1588691959,-0.912048,-0.246933,0.661545
Luca,D,2020-05-05 15:19:18.782 +0000,1588691959,-0.920273,-0.211975,0.659348
Luca,D,2020-05-05 15:19:18.792 +0000,1588691959,-0.919205,-0.170731,0.673096
Luca,D,2020-05-05 15:19:18.802 +0000,1588691959,-0.8853,-0.134521,0.682938
Luca,D,2020-05-05 15:19:18.812 +0000,1588691959,-0.80304,-0.100769,0.67334
Luca,D,2020-05-05 15:19:18.822 +0000,1588691959,-0.731476,-0.070206,0.665192
Luca,D,2020-05-05 15:19:18.832 +0000,1588691959,-0.684952,-0.06366,0.640686
Luca,D,2020-05-05 15:19:18.842 +0000,1588691959,-0.624084,-0.084747,0.587082
Luca,D,2020-05-05 15:19:18.852 +0000,1588691959,-0.564148,-0.124603,0.537094
Luca,D,2020-05-05 15:19:18.862 +0000,1588691959,-0.550644,-0.170059,0.507385
Luca,D,2020-05-05 15:19:18.872 +0000,1588691959,-0.586838,-0.201767,0.502365
Luca,D,2020-05-05 15:19:18.882 +0000,1588691959,-0.650513,-0.212555,0.516693
Luca,D,2020-05-05 15:19:18.892 +0000,1588691959,-0.731003,-0.196991,0.545792
Luca,D,2020-05-05 15:19:18.902 +0000,1588691959,-0.800232,-0.168564,0.577606
Luca,D,2020-05-05 15:19:18.912 +0000,1588691959,-0.82251,-0.145203,0.633286
Luca,D,2020-05-05 15:19:18.922 +0000,1588691959,-0.8237,-0.134491,0.665756
Luca,D,2020-05-05 15:19:18.932 +0000,1588691959,-0.827225,-0.168793,0.656326
Luca,D,2020-05-05 15:19:18.942 +0000,1588691959,-0.82428,-0.238785,0.635941
Luca,D,2020-05-05 15:19:18.952 +0000,1588691959,-0.821289,-0.307175,0.597702
